#compound_ID,Exp_label(HGMMS/HGMMI),chemical_name,SMILES,reaction_type,direct_metabolite,final_metabolite,reference_year_month,reference_title,DOI
TS0011,HGMMS,dolasetron,C1C2CC3CC(CC1N3CC2=O)OC(=O)C4=CNC5=CC=CC=C54,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0012,HGMMS,mycophenolate mofetil,CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)OCCN3CCOCC3)OC,hydrolysis,CC1=C(OC)C(CC=C(CCC(O)=O)C)=C(O)C2=C1COC2=O,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0013,HGMMS,zidovudine,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0014,HGMMS,allopurinol,C1=C2C(=NC=NC2=O)NN1,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0015,HGMMS,bisacodyl,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0016,HGMMS,estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0017,HGMMS,famciclovir,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0018,HGMMS,flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0019,HGMMS,hydrocortisone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,"reduction, desmolysis",OCC(C1(CCC2C1(CC(C3C2CCC4=CC(CCC34C)=O)O)C)O)O,O=C1CCC2C1(CC(C3C2CCC4=CC(CCC34C)=O)O)C,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0020,HGMMS,methylprednisolone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0021,HGMMS,metronidazole,CC1=NC=C(N1CCO)[N+](=O)[O-],unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0022,HGMMS,nabumetone,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,reduction,CC(CCC1=CC2=C(C=C(OC)C=C2)C=C1)O,NONE,2016/08,Human gut microbiota plays a role in the metabolism of drugs,10.5507/bp.2016.039
TS0023,HGMMS,pantoprazole,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0024,HGMMS,progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0025,HGMMS,spironolactone,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,hydrolysis,SC1CC2=CC(CCC2(C)C3C1C4CCC5(CCC(O5)=O)C4(C)CC3)=O,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0026,HGMMS,sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,reduction,O=S(NC1=CC=CC=N1)(C2=CC=C(N)C=C2)=O,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0027,HGMMS,tinidazole,CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0028,HGMMS,fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0029,HGMMS,misoprostol,CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O,hydrolysis,CCCCC(O)(C)CC=CC1C(CC(C1CCCCCCC(O)=O)=O)O,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0030,HGMMS,megestrol acetate,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0031,HGMMS,capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,hydrolysis,CCCCCOC(NC1=NC(NC=C1F)=O)=O,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0032,HGMMS,chenodeoxycholic acid,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,dehydroxylation,CC(C1CCC2C1(C)CCC3C2CCC4C3(C)CCC(O)C4)CCC(O)=O,NONE,1979/11,Transformation of Chenodeoxycholic Acid and Ursodeoxycholic Acid by Human Intestinal Bacteria,10.1016/S0016-5085(79)80079-7
TS0033,HGMMS,clofazimine,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,dechlorination,CC(N=C1C=C2C(C=C1NC3=CC=CC=C3)=NC4=CC=CC=C4N2C5=CC=C(Cl)C=C5)C,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0034,HGMMS,clonazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,reduction,O=C1CN=C(C2=CC=CC=C2Cl)C(C=C(N)C=C3)=C3N1,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0035,HGMMS,cortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0036,HGMMS,dantrolene.na,C1C(=O)N=C(N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O],unknown,NONE,NONE,1985/08,Reduction of dantrolene by enteric bacteria,10.1248/yakushi1947.105.8_770
TS0037,HGMMS,duloxetine,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0038,HGMMS,fludrocortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)O,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0039,HGMMS,iloperidone,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0040,HGMMS,lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0041,HGMMS,nilutamide,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0042,HGMMS,nitisinone,C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-],unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0043,HGMMS,nitrofurantoin,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0044,HGMMS,oxazepam,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,dehydroxylation,O=C(NC1=C2C=C(Cl)C=C1)CN=C2C3=CC=CC=C3,NONE,2010/06,A novel reductive transformation of oxazepam to nordiazepam observed during enzymatic hydrolysis,10.1093/jat/34.5.243
TS0045,HGMMS,prasugrel,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0046,HGMMS,probenecid,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0047,HGMMS,rifabutin,CC1C=CC=C(C(=O)NC2=C3C(=NC4(N3)CCN(CC4)CC(C)C)C5=C6C(=C(C(=C5C2=O)O)C)OC(C6=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0048,HGMMS,sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,unknown,NONE,NONE,2020/06,Personalized Mapping of Drug Metabolism by the Human Gut Microbiome,10.1016/j.cell.2020.05.001
TS0049,HGMMS,acecainide,CC[N](CC)CCNC(=O)c1ccc(NC(C)=O)cc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0050,HGMMS,alprenolol,C=CCc1ccccc1OCC(O)C[NH]C(C)C,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0051,HGMMS,artemisinin,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0052,HGMMS,benzbromarone,CCc1oc2ccccc2c1C(=O)c1cc(Br)c([O])c(Br)c1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0053,HGMMS,benzthiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)[N]S2(=O)=O,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0054,HGMMS,betamethasone acetate,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0055,HGMMS,betamethasone valerate,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0056,HGMMS,bezafibrate,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)[O],unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0057,HGMMS,camylofine dihydrochloride,CC[N](CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0058,HGMMS,carbetapentane citrate,CC[N](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0059,HGMMS,carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0060,HGMMS,celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0061,HGMMS,chlormezanone,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0062,HGMMS,clemastine fumarate,C[N]1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0063,HGMMS,clemizole,Clc1ccc(Cn2c(C[N]3CCCC3)nc3ccccc32)cc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0064,HGMMS,cyproterone acetate,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0065,HGMMS,danazol,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0066,HGMMS,deflazacort,CC(=O)OCC(=O)C12[N]=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0067,HGMMS,diflorasone diacetate,CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0068,HGMMS,digitoxin,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0069,HGMMS,diltiazem,COc1ccc(C2Sc3ccccc3N(CC[N](C)C)C(=O)C2OC(C)=O)cc1,hydrolysis,COc1ccc(C2Sc3c(N(CCN(C)C)C(C2O)=O)cccc3)cc1,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0070,HGMMS,diphenylpyraline,C[N]1CCC(OC(c2ccccc2)c2ccccc2)CC1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0071,HGMMS,ethopropazine,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0072,HGMMS,ethoxzolamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0073,HGMMS,famprofazone,CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0074,HGMMS,fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0075,HGMMS,fenspiride,O=C1NCC2(CC[N](CCc3ccccc3)CC2)O1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0076,HGMMS,gliclazide,Cc1ccc(S(=O)(=O)[N]C(=O)NN2CC3CCCC3C2)cc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0077,HGMMS,idebenone,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0078,HGMMS,irsogladine maleate,Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0079,HGMMS,levamisole,c1ccc(C2CN3CCSC3=N2)cc1,hydrolysis,SCCN(C(N1O)=O)CC1c2ccccc2,NONE,1991/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.3109/00498259109039513
TS0080,HGMMS,linagliptin,CC#CCn1c(N2CCCC([N])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,unknown,NONE,NONE,2019/06,Metabolism of levamisole an anti-colon cancer drug by human intestinal bacteria,10.1038/s41586-019-1291-3
TS0081,HGMMS,lofexidine,CC(Oc1c(Cl)cccc1Cl)C1=[N]CCN1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0082,HGMMS,melphalan,[N]C(Cc1ccc([N](CCCl)CCCl)cc1)C(=O)[O],unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0083,HGMMS,methsuximide,CN1C(=O)CC(C)(c2ccccc2)C1=O,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0084,HGMMS,methylphenidate,COC(=O)C(c1ccccc1)C1CCCC[N]1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0085,HGMMS,methysergide maleate,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2[N](C)C1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0086,HGMMS,metitepine maleate,CSc1ccc2c(c1)C(N1CC[N](C)CC1)Cc1ccccc1S2,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0087,HGMMS,nafronyl oxalate,CC[N](CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0088,HGMMS,naftopidil,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0089,HGMMS,naloxone,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0090,HGMMS,neostigmine bromide,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0091,HGMMS,nicergoline,COC12CC(COC(=O)c3cncc(Br)c3)C[N](C)C1Cc1cn(C)c3cccc2c13,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0092,HGMMS,norgestimate,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0093,HGMMS,noscapine,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0094,HGMMS,olmesartan medoxomil,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0095,HGMMS,orphenadrine citrate,Cc1ccccc1C(OCC[N](C)C)c1ccccc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0096,HGMMS,paclitaxel,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0097,HGMMS,papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0098,HGMMS,penbutolol sulfate,CC(C)(C)[N]CC(O)COc1ccccc1C1CCCC1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0099,HGMMS,pericyazine,N#Cc1ccc2c(c1)N(CCC[N]1CCC(O)CC1)c1ccccc1S2,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0100,HGMMS,phenazopyridine,Nc1ccc(N=Nc2ccccc2)c(N)n1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0101,HGMMS,pidotimod,O=C1CCC(C(=O)N2CSCC2C(=O)[O])N1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0102,HGMMS,pranoprofen,CC(C(=O)[O])c1ccc2c(c1)Cc1cccnc1O2,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0103,HGMMS,procarbazine,CNNCc1ccc(C(=O)NC(C)C)cc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
TS0104,HGMMS,racecadotril,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,unknown,NONE,NONE,2019/06,Mapping human microbiome drug metabolism by gut bacteria and their genes,10.1038/s41586-019-1291-3
